6335	92
6358	92
6472	92
6353	92
6256	92
5941	85
5800	87
5941	85
5815	90
5921	84
5357	82
5271	82
5107	82
5088	82
5204	82
6051	92
6043	91
6078	92
6133	92
6130	90
6347	92
6381	92
6312	92
6288	92
6307	92

10921	258
10940	257
10952	259
11035	259
10962	263
10832	254
10734	251
10738	254
10857	255
10814	252
8819	173
9204	175
8819	153
8286	166
9345	180
10408	226
10532	236
10261	226
10490	228
10491	228
10927	256
10941	256
10868	252
10878	256
10966	257

11030	478
11278	519
11212	519
11563	526
11220	521
10161	460
9917	426
9485	394
10926	493
10258	429
7934	317
7982	312
7989	321
8012	318
7832	316
9514	371
10170	426
9997	390
9482	372
9903	414
11670	577
11654	586
11832	590
11083	520
11548	566

460	0
457	0
460	0
460	0
461	0
459	0
459	0
460	0
456	0
459	0
458	0
455	0
461	0
460	0
455	0
448	0
451	0
434	0
453	0
459	0
449	0
448	0
459	0
453	0
445	0

3572	763
3066	684
3110	700
3538	752
3055	685
2949	647
2884	633
2877	624
2874	624
2889	632
2717	580
2935	650
2912	644
2877	633
2691	581
3098	689
3049	675
3028	670
3004	665
3051	672
3040	674
3965	937
3866	926
3056	681
3070	686

5827	136
5831	136
5835	137
5832	136
5833	136
5812	136
5833	136
5832	136
5831	136
5832	136
5824	136
5824	136
5823	136
5826	136
5819	136
5823	136
5815	136
5823	136
5822	135
5831	136
5832	136
5831	136
5830	136
5830	136
5830	136

2742	73
2732	73
2799	78
2739	71
2724	71
2703	76
2700	73
2698	75
2703	70
2664	70
2772	78
2798	83
2770	76
2781	83
2792	90
2575	77
2690	75
2677	77
2544	73
2634	64
2755	73
2738	69
3760	197
3499	198
3512	198

2003	5
2004	5
2006	5
2006	5
2086	6
2013	5
2011	5
2013	5
2011	5
2086	6
1946	5
1903	4
1994	5
1944	4
1997	5
1947	5
1940	5
1928	5
1994	5
1862	4
2000	5
2003	5
1999	5
2003	5
1994	5

3106	14
3101	11
2966	12
2920	9
2913	12
2399	13
2322    13
1979	13
2560	13
2321	13
43	0
43	0
34	0
43	0
43	0
2589	14
2590	14
2605	14
2599	13
2657	14
2777	10
2710	10
2925	13
2951	11
2830	11

1579	0
1556	0
1542	0
1534	0
1534	0
1663	0
1818	0
1710	0
1853	0
1505	0
664	0
1433	0
1455	0
1738	0
1585	0
1547	0
1788	0
1838	0
1867	0
1882	0
2141	1
2041	1
2016	0
2234	1
1933	0
